checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
pre_released,Fitts,10.0,Number_of_submovements_per_second,10,1.7799978000983208,1.5890110991272888,2.052036325735066,1.4092146072456717,2.276602131767302,1.3700674427562518,2.3520642543218044,1.3912872129355205,2.3009143477700285
pre_released,Fitts,10.0,Reconstruction_MASE,10,0.30458837137854156,0.2798099593066177,0.31366534528342277,0.2297789731029186,0.3729676587037037,0.2215519531950845,0.39205731772337965,0.2271549449477727,0.3796768104895833
pre_released,Fitts,10.0,Reconstruction_R2,10,0.876161206086602,0.8553674998175766,0.8997545436563695,0.7920720123306468,0.9344377367544101,0.7806771797576436,0.941076700529012,0.7882778787812977,0.9368080296892725
pre_released,Fitts,20.0,Number_of_submovements_per_second,10,1.7781310496020468,1.6502259856986938,2.0948876079799246,1.4319208710585818,2.383242304656758,1.3945816459174931,2.4548858739047623,1.4164392380404538,2.4072798092723438
pre_released,Fitts,20.0,Reconstruction_MASE,10,0.27564677980948116,0.2467692540693506,0.2882862814995172,0.20499907878648232,0.3505383600694444,0.19758125640975424,0.3677061871047454,0.2021791894516129,0.3557110026967592
pre_released,Fitts,20.0,Reconstruction_R2,10,0.8885580739758261,0.8700725247186643,0.9108825818938346,0.8024719814183535,0.941572159940746,0.7906127481721341,0.9482239606262352,0.7988026330213028,0.943975630601705
pre_released,Fitts,inf,Number_of_submovements_per_second,10,1.89615750649466,1.7993194235400027,2.219653830769756,1.4938347103457006,2.6159735186956823,1.4566823883761333,2.693774797219602,1.4806542634368343,2.6426643669999774
pre_released,Fitts,inf,Reconstruction_MASE,10,0.2766655741949351,0.2467607535857376,0.28971268189814814,0.20082884100768048,0.3520858474537037,0.19365871681728108,0.3680403626452547,0.19822637016390174,0.35755590572800927
pre_released,Fitts,inf,Reconstruction_R2,10,0.8863713554421226,0.8711928790780129,0.9091392593241177,0.7997256735408748,0.942068270732364,0.7883759646883441,0.9487702560749838,0.7959126281689991,0.9445308406644154
pre_released,crank,10.0,Number_of_submovements_per_second,5,3.398374278098345,3.392052100226283,3.43439273647964,3.3777218095958235,3.521959988772869,3.301040582153946,3.5955338043440133,3.3271704678889362,3.563729844409972
pre_released,crank,10.0,Reconstruction_MASE,5,0.14356138569500002,0.142540733845,0.145240433605,0.14137665422,0.148042825775,0.13769981021625002,0.151729281786,0.13872102809474998,0.15024111934849999
