checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,Fitts,10.0,Number_of_submovements_per_second,10,434,1.558401912776968,1.4974671809822493,1.6238548329576403
pre_released,Fitts,10.0,Number_of_submovements_per_second,102,652,1.8303483994134868,1.7772489289290334,1.8792709871813045
pre_released,Fitts,10.0,Number_of_submovements_per_second,104,651,1.4242216802206458,1.3819427679739205,1.4678111016055062
pre_released,Fitts,10.0,Number_of_submovements_per_second,106,651,1.6808386581782508,1.6369834303134871,1.724541696546007
pre_released,Fitts,10.0,Number_of_submovements_per_second,108,652,1.4092146072456717,1.3700674427562518,1.4493553009272717
pre_released,Fitts,10.0,Number_of_submovements_per_second,110,652,1.7296472007831547,1.685266351400149,1.7737375760188132
pre_released,Fitts,10.0,Number_of_submovements_per_second,2,432,2.0798967874401972,2.0208770948391046,2.140298573025373
pre_released,Fitts,10.0,Number_of_submovements_per_second,4,432,1.9684549406196714,1.9107836371177755,2.030563023945433
pre_released,Fitts,10.0,Number_of_submovements_per_second,6,432,2.1537757886754765,2.080393117351276,2.2263191025639473
pre_released,Fitts,10.0,Number_of_submovements_per_second,8,432,2.276602131767302,2.2043679526331186,2.3520642543218044
pre_released,Fitts,10.0,Reconstruction_MASE,10,434,0.29722481947004603,0.28062087884965436,0.3148058071221198
pre_released,Fitts,10.0,Reconstruction_MASE,102,652,0.31216208009202456,0.3005869670498466,0.3251838724658742
pre_released,Fitts,10.0,Reconstruction_MASE,104,651,0.2297789731029186,0.2215519531950845,0.23827439808141315
pre_released,Fitts,10.0,Reconstruction_MASE,106,651,0.2797146738863287,0.2665018166881721,0.2937910898629032
pre_released,Fitts,10.0,Reconstruction_MASE,108,652,0.25726018444785276,0.24869604701418713,0.26675424628642636
pre_released,Fitts,10.0,Reconstruction_MASE,110,652,0.28009581556748464,0.2699287611330522,0.291065189282592
pre_released,Fitts,10.0,Reconstruction_MASE,2,432,0.3212987223611111,0.30789435084780087,0.33549877582812504
pre_released,Fitts,10.0,Reconstruction_MASE,4,432,0.3119519232870371,0.29789121286805553,0.32717626335069444
pre_released,Fitts,10.0,Reconstruction_MASE,6,432,0.3729676587037037,0.35471388936342596,0.39205731772337965
pre_released,Fitts,10.0,Reconstruction_MASE,8,432,0.3141664336805555,0.30121180036921297,0.3281550275028935
pre_released,Fitts,10.0,Reconstruction_R2,10,434,0.8853183960035649,0.8737136300773389,0.8964303096215571
pre_released,Fitts,10.0,Reconstruction_R2,102,652,0.8402385916446615,0.8314523098864621,0.8482726454232002
pre_released,Fitts,10.0,Reconstruction_R2,104,651,0.9344377367544101,0.9268199443428016,0.941076700529012
pre_released,Fitts,10.0,Reconstruction_R2,106,651,0.9055876574391777,0.8964040938656085,0.9143636383081911
pre_released,Fitts,10.0,Reconstruction_R2,108,652,0.9045665928739711,0.8983294254408841,0.9104298507120528
pre_released,Fitts,10.0,Reconstruction_R2,110,652,0.8847129461955439,0.8766667710742885,0.8923558865496718
pre_released,Fitts,10.0,Reconstruction_R2,2,432,0.8534955989431452,0.8423823348487969,0.863895729329023
pre_released,Fitts,10.0,Reconstruction_R2,4,432,0.86760946597766,0.8564124977112644,0.8783931976632664
pre_released,Fitts,10.0,Reconstruction_R2,6,432,0.7920720123306468,0.7806771797576436,0.8037861203498863
pre_released,Fitts,10.0,Reconstruction_R2,8,432,0.8609832024408711,0.8490849327296018,0.8721763572552138
pre_released,Fitts,20.0,Number_of_submovements_per_second,10,434,1.6367018485467555,1.5727816924768228,1.6987716492870606
pre_released,Fitts,20.0,Number_of_submovements_per_second,102,652,1.8332008721358344,1.7889338784277626,1.8776120194730326
pre_released,Fitts,20.0,Number_of_submovements_per_second,104,651,1.4542736161139704,1.4158916212468138,1.4962045906738204
pre_released,Fitts,20.0,Number_of_submovements_per_second,106,651,1.6907983971545086,1.64900166567518,1.7324753338707104
pre_released,Fitts,20.0,Number_of_submovements_per_second,108,652,1.4319208710585818,1.3945816459174931,1.471173625197647
pre_released,Fitts,20.0,Number_of_submovements_per_second,110,652,1.7230612270682593,1.6824833836986404,1.7642314130214667
pre_released,Fitts,20.0,Number_of_submovements_per_second,2,432,2.1170568065200417,2.0588638020821644,2.1729493393730888
pre_released,Fitts,20.0,Number_of_submovements_per_second,4,432,2.0283800123595737,1.9674735246727424,2.0882977333595694
pre_released,Fitts,20.0,Number_of_submovements_per_second,6,432,2.128618762556774,2.065814177382789,2.1948013895226826
pre_released,Fitts,20.0,Number_of_submovements_per_second,8,432,2.383242304656758,2.3061018154969335,2.4548858739047623
pre_released,Fitts,20.0,Reconstruction_MASE,10,434,0.2690421873041475,0.2545828997620968,0.2847886765668203
pre_released,Fitts,20.0,Reconstruction_MASE,102,652,0.2887397461042945,0.27827943832668717,0.2996398144321319
