checkpoint,dataset,snr,n,delta,lo,hi,p
pre_rerun,Fitts,10.0,10,0.0005779845483941503,-0.002141212593530833,0.003297181690319133,0.6421054076864173
pre_rerun,Fitts,20.0,10,-0.0015859924366638967,-0.003988859003822472,0.0008168741304946782,0.16960872454430254
pre_rerun,Fitts,inf,10,-0.0045008371541260805,-0.00659993866242365,-0.0024017356458285112,0.0009077595233456488
pre_rerun,crank,10.0,5,-0.04817257130146026,-0.06571493415679516,-0.030630208446125344,0.0015889590968845189
pre_rerun,crank,20.0,5,-0.040477532625198355,-0.09110750769192164,0.010152442441524925,0.09064190392434802
pre_rerun,crank,inf,5,-0.3894558730721474,-0.8543831228669039,0.07547137672260912,0.08062703180594474
pre_rerun,object_moving,10.0,5,0.003019792363047613,-0.008444598343494198,0.014484183069589424,0.5051123888399435
pre_rerun,object_moving,20.0,5,0.000652906522154817,-0.011145757190060864,0.012451570234370499,0.8853324059910423
pre_rerun,object_moving,inf,5,-0.004672379046678543,-0.00807654680321614,-0.0012682112901409468,0.01892712495103483
pre_rerun,pointing,10.0,2,0.0020500504505199246,-0.020783654262199795,0.024883755163239644,0.45819385037591936
pre_rerun,pointing,20.0,2,0.00028792217717060753,-0.00046987559785089143,0.0010457199521921065,0.13003002507524802
pre_rerun,pointing,inf,2,-0.0009942084015842068,-0.04113778301775612,0.03914936621458771,0.8059105340087733
pre_rerun,steering,10.0,9,0.004815493855211467,0.003728638046112476,0.0059023496643104585,7.228808052290515e-06
pre_rerun,steering,20.0,9,0.004923418329821695,0.0039003610384188655,0.005946475621224525,3.881087240254535e-06
pre_rerun,steering,inf,9,0.0045486388934983125,0.0034223694141922245,0.0056749083728044,1.4400751024175517e-05
pre_rerun,tablet_writing,10.0,44,0.00405558962048934,0.0015102457496142048,0.006600933491364475,0.002488730426380274
pre_rerun,tablet_writing,20.0,44,0.005887966415253493,0.003611332419503651,0.008164600411003335,4.980448682572871e-06
pre_rerun,tablet_writing,inf,44,0.004629969762443367,0.0025665715494829445,0.00669336797540379,4.7126175056103676e-05
pre_rerun,whacamole,10.0,181,-0.00415300730183637,-0.006113671593185998,-0.0021923430104867424,4.5503261138310053e-05
pre_rerun,whacamole,20.0,181,-0.004232592674908716,-0.006437899022836683,-0.00202728632698075,0.00020750343739284915
pre_rerun,whacamole,inf,181,-0.004982114167503225,-0.007168084764620858,-0.002796143570385592,1.2308460773637983e-05
pre_rerun_s1000,Fitts,10.0,10,-0.008878007895001094,-0.01503188858404314,-0.002724127205959049,0.009783176621399397
pre_rerun_s1000,Fitts,20.0,10,-0.015236926158167064,-0.025553115507134773,-0.004920736809199357,0.008643830552973773
pre_rerun_s1000,Fitts,inf,10,-0.010216455367689503,-0.01831086770961096,-0.002122043025768048,0.018927737416914357
pre_rerun_s1000,crank,10.0,5,-0.0982889597415924,-0.12506195362794717,-0.07151596585523762,0.0005219124088778821
pre_rerun_s1000,crank,20.0,5,-0.02455031263828278,-0.08455369833175078,0.03545307305518522,0.3194095308967451
pre_rerun_s1000,crank,inf,5,-0.05612074381113051,-0.12920769691852457,0.01696620929626355,0.09999080229376656
