checkpoint,dataset,snr,n,mean,t_lo,t_hi,median,s_lo,s_hi,spread_kind
ft_A,Fitts,10.0,10,0.8678009928504968,0.8367422893052253,0.8988596963957683,0.8702018249884055,0.7782359076318918,0.9316904044004812,min-max
ft_A,Fitts,20.0,10,0.8820581622585445,0.8532504054584039,0.9108659190586851,0.885545287129313,0.7968403720469387,0.9408611086656421,min-max
ft_A,Fitts,inf,10,0.8813854604465886,0.8515061162441188,0.9112648046490585,0.8847233641586252,0.791685030968101,0.9421112279188798,min-max
ft_A,crank,10.0,5,0.8283487649559975,0.8247654694264862,0.8319320604855088,0.8290694230794906,0.824205584526062,0.831960515677929,min-max
ft_A,crank,20.0,5,0.9212847328782082,0.913261926635696,0.9293075391207204,0.922369328737259,0.9124753528833389,0.9296729838848115,min-max
ft_A,crank,inf,5,0.8800751007199288,0.8678179363139652,0.8923322651258924,0.8823815846443176,0.8667223957180977,0.8906039765477181,min-max
ft_A,object_moving,10.0,5,0.9168447604775428,0.9114282204852889,0.9222613004697967,0.9174462828785181,0.9106411926448346,0.9226168509572744,min-max
ft_A,object_moving,20.0,5,0.9737435484677552,0.9693529776748688,0.9781341192606416,0.9742098066955804,0.9679524369537831,0.9771864581853151,min-max
ft_A,object_moving,inf,5,0.9691218075156212,0.9631032576305777,0.9751403574006646,0.9711270269006491,0.9635203674435615,0.974312350898981,min-max
ft_A,pointing,10.0,2,0.9683533650277405,0.9508597591921162,0.9858469708633648,0.9683533650277405,0.9669765883899597,0.9697301416655212,min-max
ft_A,pointing,20.0,2,0.9804491837426594,0.9696712962250357,0.9912270712602832,0.9804491837426594,0.9796009455990587,0.9812974218862602,min-max
ft_A,pointing,inf,2,0.9789380091823829,0.9702656420195788,0.9876103763451871,0.9789380091823829,0.9782554790844605,0.9796205392803055,min-max
ft_A,steering,10.0,9,0.9422660655445524,0.9377810031795731,0.9467511279095316,0.9412768051028252,0.9335649207234382,0.9515911504626274,min-max
ft_A,steering,20.0,9,0.9704315101106962,0.9658294611730548,0.9750335590483376,0.9683569207787514,0.9623809859156609,0.9798032268881798,min-max
