checkpoint,dataset,snr,mean,lower,upper,n
ft_A,Fitts,10.0,0.8701854446346495,0.8346714308800621,0.9056994583892369,10
ft_A,Fitts,20.0,0.8882615235503876,0.8507493725141325,0.9257736745866426,10
ft_A,Fitts,inf,0.8545810674868323,0.8096637764983885,0.899498358475276,10
ft_A,crank,10.0,0.8440755780541632,0.8138600256410414,0.874291130467285,5
ft_A,crank,20.0,0.92602396039041,0.9061727886436336,0.9458751321371864,5
ft_A,crank,inf,0.887636600214514,0.8629240391689182,0.9123491612601097,5
ft_A,object_moving,10.0,0.9143482252813522,0.8825301015029692,0.9461663490597352,5
ft_A,object_moving,20.0,0.9769699226813067,0.9757643251014962,0.9781755202611171,5
ft_A,object_moving,inf,0.9738731314653684,0.9669711209335686,0.9807751419971681,5
ft_A,pointing,10.0,0.9705475402693463,0.9460307711487328,0.9950643093899598,2
ft_A,pointing,20.0,0.9774740044684971,0.9336426252943304,1.0213053836426638,2
ft_A,pointing,inf,0.9820835727597612,0.9757436201122959,0.9884235254072266,2
ft_A,steering,10.0,0.9427824726946975,0.9381848321135372,0.9473801132758578,9
ft_A,steering,20.0,0.9704944852601598,0.9658603646049068,0.9751286059154128,9
ft_A,steering,inf,0.9725929527793055,0.9685720134825077,0.9766138920761033,9
ft_A,tablet_writing,10.0,0.799462608258162,0.7825476896239881,0.8163775268923358,33
ft_A,tablet_writing,20.0,0.8581714525357598,0.8432708717558495,0.8730720333156701,40
ft_A,tablet_writing,inf,0.8570253891903058,0.8367525212358269,0.8772982571447847,38
ft_A,whacamole,10.0,0.8983548693358898,0.885400392115497,0.9113093465562826,128
ft_A,whacamole,20.0,0.9250065013766289,0.912048784276891,0.9379642184763668,128
ft_A,whacamole,inf,0.929490253329277,0.9165135354818638,0.9424669711766903,128
ft_A2,Fitts,10.0,0.8695283949242911,0.8355948840426644,0.9034619058059179,10
ft_A2,Fitts,20.0,0.8900358525974971,0.8547033350949288,0.9253683701000653,10
ft_A2,Fitts,inf,0.8544525661375844,0.8078431800208065,0.9010619522543623,10
ft_A2,crank,10.0,0.8947455312710035,0.8674938936756923,0.9219971688663148,5
ft_A2,crank,20.0,0.9299946104382579,0.9077532296672888,0.9522359912092271,5
ft_A2,crank,inf,0.9046415156461152,0.8838621454067043,0.9254208858855261,5
ft_A2,object_moving,10.0,0.9279979693921154,0.9154483637520443,0.9405475750321866,5
ft_A2,object_moving,20.0,0.9751428049125422,0.970004743607617,0.9802808662174675,5
ft_A2,object_moving,inf,0.9655541018033638,0.9511744998578593,0.9799337037488682,5
ft_A2,pointing,10.0,0.9645458211392273,0.9175036129774476,1.0115880293010069,2
ft_A2,pointing,20.0,0.9792927659901918,0.9634689629188512,0.9951165690615323,2
ft_A2,pointing,inf,0.9816911065450122,0.9453997472735141,1.0179824658165104,2
ft_A2,steering,10.0,0.9440844451958272,0.9394239312770502,0.9487449591146043,9
ft_A2,steering,20.0,0.9705991506116626,0.9659696283256117,0.9752286728977134,9
ft_A2,steering,inf,0.9729188995488589,0.9688738065429162,0.9769639925548016,9
ft_A2,tablet_writing,10.0,0.8060662346176278,0.7907573938450384,0.8213750753902173,33
ft_A2,tablet_writing,20.0,0.8546019627171614,0.8395528016418867,0.869651123792436,40
ft_A2,tablet_writing,inf,0.8610301766591263,0.8449595759832738,0.8771007773349788,38
ft_A2,whacamole,10.0,0.8975062048994005,0.8842378591365667,0.9107745506622342,128
ft_A2,whacamole,20.0,0.9238072275184095,0.9104433208610553,0.9371711341757637,128
ft_A2,whacamole,inf,0.92857950553298,0.9153273515612518,0.9418316595047082,128
ft_B,Fitts,10.0,0.8687658315255142,0.8312842283854944,0.906247434665534,10
ft_B,Fitts,20.0,0.8930154330545228,0.8560823669060514,0.9299484992029942,10
ft_B,Fitts,inf,0.8489744696087864,0.7980424656811744,0.8999064735363984,10
ft_B,crank,10.0,0.8917397914387672,0.871774174237722,0.9117054086398125,5
ft_B,crank,20.0,0.9189346331196191,0.9020413688860842,0.935827897353154,5
ft_B,crank,inf,0.9020828950967712,0.8863317492053524,0.91783404098819,5
ft_B,object_moving,10.0,0.9213060247551198,0.8835798874325758,0.9590321620776638,5
ft_B,object_moving,20.0,0.9771943978692079,0.9745802456663657,0.9798085500720501,5
ft_B,object_moving,inf,0.9660541183333791,0.9523689612343963,0.9797392754323618,5
