checkpoint,domain,group,variant,mean,lower,upper,n
ft_A,synthetic,all,per-trial mean (mine),0.9846495252418875,0.9840841430614495,0.9852077100105817,4608
ft_A,synthetic,all,pooled recompute (paper),0.979175800692187,0.9783660682271011,0.9799250855664919,4608
ft_A,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9434739403761341,0.9419641072890954,0.944968577369582,512
ft_A,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9445256688588936,0.9430353535205391,0.9460486920297565,512
ft_A,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9702080409328919,0.9692403358378214,0.9712068826542236,512
ft_A,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9706805780163589,0.9696929553905196,0.971730391418353,512
ft_A,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.989221540855302,0.9889262104348745,0.9895116694504396,512
ft_A,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.9895438447805499,0.9892770282766403,0.9898178150688621,512
ft_A,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.9793400654009893,0.9784496597480029,0.9802156590885716,512
ft_A,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.9794283428830315,0.9784952409850235,0.9803407812893226,512
ft_A,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9947223694517161,0.9943273520679213,0.9950862011290156,512
ft_A,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9947714179763321,0.9943255112725711,0.9951789676219025,512
ft_A,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9985254905084148,0.9983631272247294,0.9986451812554151,512
ft_A,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.9985576842050636,0.9983799269298065,0.9986835551322687,512
ft_A,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9874287609457387,0.9869462195929373,0.9878822767670499,512
ft_A,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9877193287901571,0.9872148094668174,0.9881992026781801,512
ft_A,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9990764763556653,0.999000864700065,0.9991493591631297,512
ft_A,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9990990028955093,0.9990231400342556,0.9991704681193001,512
ft_A,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9999239694654243,0.9999193414667389,0.9999278341798344,512
ft_A,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.99992692151757,0.9999206011597086,0.9999317631560574,512
ft_A2,synthetic,all,per-trial mean (mine),0.9832142503137324,0.9825960102167705,0.9838249822664592,4608
ft_A2,synthetic,all,pooled recompute (paper),0.977750019764684,0.9768803430995037,0.9785798429407133,4608
ft_A2,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.94011783478281,0.9385429034970002,0.9417005177645479,512
ft_A2,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9408964174439026,0.9391293050935765,0.942555500927014,512
ft_A2,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9628542435127893,0.9613315116759622,0.9642544389032992,512
ft_A2,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9629724723184523,0.9612997365766541,0.9645027385909732,512
ft_A2,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9863364741864498,0.9853756169351982,0.9871526644361438,512
